id,screen_area(sq),default_ABC_off(nits),default_100/140(nits),default_35/50(nits),default_12/17(nits),defualt_3/4(nits),default_low_backlight(nits),default_mid_backlight(nits),brightest_ABC_off(nits),brightest_100/140(nits),brightest_35/50(nits),brightest_12/17(nits),brightest_3/4(nits),brightest_low_backlight(nits),brightest_mid_backlight(nits),hdr10_ABC_off(nits),hdr10_100/140(nits),hdr10_35/50(nits),hdr10_12/17(nits),hdr10_3/4(nits),hdr10_low_backlight(nits),hdr10_mid_backlight(nits),default_ABC_off(watts),default_100/140(watts),default_35/50(watts),default_12/17(watts),defualt_3/4(watts),default_low_backlight(watts),default_mid_backlight(watts),brightest_ABC_off(watts),brightest_100/140(watts),brightest_35/50(watts),brightest_12/17(watts),brightest_3/4(watts),brightest_low_backlight(watts),brightest_mid_backlight(watts),hdr10_ABC_off(watts),hdr10_100/140(watts),hdr10_35/50(watts),hdr10_12/17(watts),hdr10_3/4(watts),hdr10_low_backlight(watts),hdr10_mid_backlight(watts),default_a1,default_a2,default_b,brightest_a1,brightest_a2,brightest_b,hdr_a1,hdr_a2,hdr_b
29.0,777.0,38.18888109,nan,nan,nan,nan,9.129710848,nan,50.77179701,nan,nan,nan,nan,10.04026251,nan,14.61680674,nan,nan,nan,nan,4.089259563,nan,70.657075,nan,nan,nan,nan,31.34843611,nan,80.77015278,nan,nan,nan,nan,31.668275,nan,71.47895,nan,nan,nan,nan,32.53351111,nan,0.0,1.3527103,18.99858221,0.0,1.205500318,19.56473536,0,3.699383933,17.40576999
30.0,777.0,48.06096224,nan,nan,nan,nan,5.68113828,nan,48.11101793,nan,nan,nan,nan,5.692830555,nan,36.06170944,nan,nan,nan,nan,2.34131239,nan,83.99694723,nan,nan,nan,nan,37.70823611,nan,83.98900833,nan,nan,nan,nan,37.68125833,nan,82.58918333,nan,nan,nan,nan,32.99533333,nan,0.0,1.092234625,31.50310017,0.0,1.091695635,31.46642006,0,1.470737427,29.55187757
31.0,426.25,24.28821877,nan,nan,nan,nan,8.66082302,nan,33.96574533,nan,nan,nan,nan,6.915189843,nan,nan,nan,nan,nan,nan,nan,nan,24.58167778,nan,nan,nan,nan,15.20400833,nan,32.29360833,nan,nan,nan,nan,14.06301667,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.600078836,10.00683173,0.0,0.673945187,9.402557757,0,0,0
32.0,777.0,35.76865887,nan,nan,nan,nan,15.67387235,nan,45.19194229,nan,nan,nan,nan,16.03701653,nan,17.9071718,nan,nan,nan,nan,6.1061076,nan,62.95976111,nan,nan,nan,nan,36.90545,nan,75.46150833,nan,nan,nan,nan,36.94253333,nan,75.22209444,nan,nan,nan,nan,36.75516667,nan,0.0,1.296570684,16.58316661,0.0,1.321182408,15.75470922,0,3.25961516,16.85160577
33.0,146.25,32.93407726,nan,nan,nan,nan,15.98289036,nan,39.83020493,nan,nan,nan,nan,5.32595003,nan,nan,nan,nan,nan,nan,nan,nan,17.24676945,nan,nan,nan,nan,11.48214722,nan,20.95103333,nan,nan,nan,nan,8.997416667,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.340071893,6.046815435,0.0,0.346438916,7.152300312,0,0,0
34.0,426.25,29.30018737,nan,nan,nan,nan,2.446918717,nan,44.58516866,nan,nan,nan,nan,4.165006123,nan,nan,nan,nan,nan,nan,nan,nan,28.3159625,nan,nan,nan,nan,13.21103333,nan,37.53635,nan,nan,nan,nan,13.58059445,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.562498717,11.83464469,0.0,0.592668462,11.11212667,0,0,0
35.0,664.125,33.42363578,nan,nan,nan,nan,8.646007538,nan,44.69969432,nan,nan,nan,nan,7.004344125,nan,nan,nan,nan,nan,nan,nan,nan,39.430925,nan,nan,nan,nan,17.990375,nan,57.18899445,nan,nan,nan,nan,16.66156944,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.865318899,10.50882127,0.0,1.075130614,9.130984641,0,0,0
36.0,433.125,22.38998416,nan,nan,nan,nan,7.240420642,nan,28.24744245,nan,nan,nan,nan,5.807683255,nan,nan,nan,nan,nan,nan,nan,nan,29.18723056,nan,nan,nan,nan,15.73481111,nan,36.45818334,nan,nan,nan,nan,14.38748056,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.887974061,9.305505389,0.0,0.983553459,8.6753136,0,0,0
37.0,235.75,26.4868276,nan,nan,nan,nan,2.515514258,nan,33.08642038,nan,nan,nan,nan,3.097912815,nan,nan,nan,nan,nan,nan,nan,nan,19.07299167,nan,nan,nan,nan,11.61891667,nan,21.85313889,nan,nan,nan,nan,11.8562,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.31095814,10.83669703,0.0,0.333359,10.82348288,0,0,0
38.0,426.25,23.10331977,nan,nan,nan,nan,2.764887438,nan,26.88685282,nan,nan,nan,nan,3.30250866,nan,12.17117391,nan,nan,nan,nan,1.41940212,nan,34.03936667,nan,nan,nan,nan,17.29658056,nan,34.05391667,nan,nan,nan,nan,17.32288333,nan,33.55906667,nan,nan,nan,nan,17.22918334,nan,0.0,0.823209274,15.02049958,0.0,0.709412703,14.98004174,0,1.518808588,15.07338321
39.0,1296.0,49.6810979,39.90798554,37.27092918,34.58998569,33.78861979,nan,nan,68.34627817,nan,nan,nan,nan,3.996062178,nan,50.00719856,nan,nan,nan,nan,2.797125793,nan,122.0745083,109.7430222,105.7177167,102.4207222,101.1082833,nan,nan,167.133075,nan,nan,nan,nan,59.17930556,nan,145.2727167,nan,nan,nan,nan,54.20245,nan,-0.006152307,1.831604766,46.27583327,0.0,1.677597624,52.47552114,0,1.929043133,48.8066737
